# wavelength flux
3487.00464 3.07218e-18
3488.46624 -1.06649e-18
3489.93792 2.55367e-18
3491.40960 7.27716e-18
3492.88128 5.34198e-18
3494.35296 6.90457e-18
3495.82464 6.64312e-18
3497.28624 1.43835e-17
3498.75792 1.60887e-17
3500.22960 1.29319e-17
3501.70128 7.72747e-18
3503.17296 2.43526e-18
3504.64464 -2.18558e-18
3506.10624 -7.09871e-18
3507.57792 -3.07325e-18
3509.04960 3.59355e-18
3510.52128 3.90181e-18
3511.99296 1.11922e-17
3513.46464 1.25527e-17
3514.92624 1.11323e-17
3516.39792 8.15931e-18
3517.86960 3.78844e-18
3519.34128 6.39085e-18
3520.81296 1.05013e-17
3522.28464 4.74759e-18
3523.74624 3.05648e-18
3525.21792 8.47140e-18
3526.68960 1.09472e-17
3528.16128 5.88177e-18
3529.63296 4.16288e-18
3531.10464 1.00233e-17
3532.56624 6.76817e-18
3534.03792 9.86247e-18
3535.50960 7.23526e-18
3536.98128 1.11875e-18
3538.45296 6.51865e-18
3539.92464 9.87111e-18
3541.38624 2.06844e-18
3542.85792 -2.84706e-18
3544.32960 1.34560e-18
3545.80128 3.38069e-18
3547.27296 4.19800e-18
3548.74464 2.74173e-19
3550.20624 2.12714e-18
3551.67792 8.60407e-18
3553.14960 1.34042e-17
3554.62128 9.68514e-18
3556.09296 1.71825e-18
3557.56464 3.29972e-18
3559.02624 8.43493e-18
3560.49792 3.94596e-18
3561.96960 -6.96023e-19
3563.44128 1.92477e-18
3564.91296 6.69000e-18
3566.38464 1.09100e-17
3567.84624 7.86928e-18
3569.31792 6.38020e-18
3570.78960 8.98856e-18
3572.26128 8.29831e-18
3573.73296 1.95770e-18
3575.20464 9.15589e-18
3576.66624 1.20957e-17
3578.13792 5.47431e-18
3579.60960 9.01372e-18
3581.08128 1.07091e-17
3582.55296 3.84616e-18
3584.02464 3.22649e-18
3585.48624 7.14771e-18
3586.95792 8.18212e-18
3588.42960 5.30400e-18
3589.90128 1.04982e-17
3591.37296 1.05673e-17
3592.84464 7.06649e-18
3594.30624 3.72420e-18
3595.77792 4.48584e-18
3597.24960 6.08970e-18
3598.72128 5.83397e-18
3600.19296 9.12158e-18
3601.66464 8.26618e-18
3603.12624 2.85915e-18
3604.59792 7.24058e-18
3606.06960 1.09379e-17
3607.54128 7.63537e-18
3609.01296 2.62073e-18
3610.48464 7.14663e-18
3611.94624 6.50237e-18
3613.41792 7.93641e-18
3614.88960 8.55196e-18
3616.36128 8.61097e-18
3617.83296 1.18744e-17
3619.30464 8.75816e-18
3620.76624 6.27757e-18
3622.23792 1.66571e-18
3623.70960 4.40306e-18
3625.18128 6.05695e-18
3626.65296 3.75598e-18
3628.12464 4.31167e-18
3629.58624 5.20640e-18
3631.05792 1.32659e-17
3632.52960 1.25418e-17
3634.00128 7.99529e-18
3635.47296 3.17816e-18
3636.94464 3.65284e-18
3638.40624 4.55278e-18
3639.87792 9.56906e-18
3641.34960 8.27058e-18
3642.82128 1.19409e-17
3644.29296 5.03391e-18
3645.76464 7.18397e-18
3647.22624 6.63175e-18
3648.69792 7.78409e-18
3650.16960 1.02309e-17
3651.64128 3.42299e-18
3653.11296 8.10361e-20
3654.58464 8.17686e-18
3656.04624 9.28397e-18
3657.51792 7.49468e-18
3658.98960 4.83943e-19
3660.46128 3.80032e-18
3661.93296 6.45471e-18
3663.40464 5.22973e-18
3664.86624 1.59547e-18
3666.33792 7.03342e-18
3667.80960 9.05379e-18
3669.28128 8.55953e-18
3670.75296 6.39057e-18
3672.22464 4.95276e-18
3673.68624 4.21190e-18
3675.15792 3.90931e-18
3676.62960 3.55400e-18
3678.10128 2.21253e-18
3679.57296 3.05590e-18
3681.04464 4.22565e-18
3682.50624 3.76182e-18
3683.97792 3.79845e-18
3685.44960 9.96274e-18
3686.92128 8.82845e-18
3688.39296 6.53762e-18
3689.86464 4.99400e-18
3691.32624 6.02450e-18
3692.79792 5.70085e-18
3694.26960 7.15817e-18
3695.74128 6.74358e-18
3697.21296 9.58082e-18
3698.68464 4.97213e-18
3700.14624 5.32818e-18
3701.61792 4.95564e-18
3703.08960 5.15406e-18
3704.56128 9.40855e-18
3706.03296 9.33024e-18
3707.50464 8.64013e-18
3708.96624 4.24358e-18
3710.43792 1.58650e-18
3711.90960 5.82831e-18
3713.38128 9.71890e-18
3714.85296 6.88723e-18
3716.32464 6.89610e-18
3717.78624 7.72957e-18
3719.25792 4.60065e-18
3720.72960 5.48854e-18
3722.20128 2.48089e-18
3723.67296 4.39222e-18
3725.14464 6.00329e-18
3726.60624 9.05340e-18
3728.07792 4.18974e-18
3729.54960 4.68521e-18
3731.02128 6.48537e-18
3732.49296 1.00266e-17
3733.96464 4.96296e-18
3735.42624 1.34047e-18
3736.89792 4.71419e-18
3738.36960 4.62717e-18
3739.84128 4.54020e-18
3741.31296 4.51246e-18
3742.78464 4.48472e-18
3744.24624 4.45700e-18
3745.71792 4.42929e-18
3747.18960 4.40159e-18
3748.66128 4.37390e-18
3750.13296 4.34622e-18
3751.60464 4.31855e-18
3753.06624 4.29089e-18
3754.53792 4.26324e-18
3756.00960 4.23560e-18
3757.48128 4.20797e-18
3758.95296 4.18036e-18
3760.42464 4.15275e-18
3761.88624 4.12515e-18
3763.35792 4.09756e-18
3764.82960 4.06998e-18
3766.30128 4.04242e-18
3767.77296 4.01486e-18
3769.24464 3.98731e-18
3770.70624 3.95978e-18
3772.17792 3.93226e-18
3773.64960 3.90474e-18
3775.12128 3.87723e-18
3776.59296 3.84973e-18
3778.06464 3.82225e-18
3779.52624 4.75390e-18
3780.99792 1.69591e-18
3782.46960 -1.64774e-19
3783.94128 6.39413e-18
3785.41296 4.71507e-18
3786.88464 3.09925e-18
3788.34624 5.29486e-18
3789.81792 2.65520e-18
3791.28960 1.46261e-18
3792.76128 3.65104e-18
3794.23296 5.96364e-18
3795.70464 5.60685e-18
3797.16624 2.80910e-18
3798.63792 2.96567e-18
3800.10960 4.71628e-18
3801.58128 4.76984e-18
3803.05296 5.58908e-18
3804.52464 5.02302e-18
3805.98624 4.81405e-18
3807.45792 6.89485e-18
3808.92960 2.64168e-18
3810.40128 2.49855e-18
3811.87296 4.33144e-18
3813.34464 2.52919e-18
3814.80624 9.10704e-19
3816.27792 1.53227e-18
3817.74960 5.03689e-18
3819.22128 6.90641e-18
3820.69296 3.08728e-18
3822.16464 1.60091e-18
3823.62624 3.12317e-18
3825.09792 2.88742e-18
3826.56960 4.11356e-18
3828.04128 2.08347e-18
3829.51296 3.82858e-18
3830.98464 6.49757e-18
3832.44624 5.86796e-18
3833.91792 3.98657e-18
3835.38960 2.32779e-18
3836.86128 2.61351e-18
3838.33296 4.09609e-18
3839.80464 5.05009e-18
3841.26624 3.08876e-18
3842.73792 2.08816e-18
3844.20960 5.07125e-18
3845.68128 5.34864e-18
3847.15296 5.14808e-18
3848.62464 6.07646e-18
3850.08624 7.01140e-18
3851.55792 7.07931e-18
3853.02960 5.19963e-18
3854.50128 4.03595e-18
3855.97296 2.64821e-18
3857.44464 2.53163e-18
3858.90624 3.69209e-18
3860.37792 5.36140e-18
3861.84960 4.24483e-18
3863.32128 1.79493e-18
3864.79296 4.44476e-18
3866.26464 5.50204e-18
3867.72624 4.03867e-18
3869.19792 3.65636e-18
3870.66960 3.86962e-18
3872.14128 4.52344e-18
3873.61296 4.44910e-18
3875.08464 4.38445e-18
3876.54624 4.15786e-18
3878.01792 5.30260e-18
3879.48960 5.04113e-18
3880.96128 5.70030e-18
3882.43296 5.62192e-18
3883.90464 4.54698e-18
3885.36624 5.09326e-18
3886.83792 6.83523e-18
3888.30960 7.59485e-18
3889.78128 5.36687e-18
3891.25296 6.18502e-18
3892.72464 6.08410e-18
3894.18624 4.11169e-18
3895.65792 5.42452e-18
3897.12960 7.61070e-18
3898.60128 5.13928e-18
3900.07296 5.75681e-18
3901.54464 9.33454e-18
3903.00624 9.52389e-18
3904.47792 7.81256e-18
3905.94960 7.26072e-18
3907.42128 7.58026e-18
3908.89296 7.19177e-18
3910.36464 8.26061e-18
3911.82624 8.93657e-18
3913.29792 7.47421e-18
3914.76960 8.01462e-18
3916.24128 7.67591e-18
3917.71296 6.74441e-18
3919.18464 7.56995e-18
3920.64624 7.91198e-18
3922.11792 6.93101e-18
3923.58960 9.32028e-18
3925.06128 1.10380e-17
3926.53296 9.04266e-18
3928.00464 7.87014e-18
3929.46624 8.27472e-18
3930.93792 7.91021e-18
3932.40960 8.68453e-18
3933.88128 1.00252e-17
3935.35296 8.38857e-18
3936.82464 8.28643e-18
3938.28624 1.05313e-17
3939.75792 1.14237e-17
3941.22960 1.15236e-17
3942.70128 1.10210e-17
3944.17296 9.68871e-18
3945.64464 8.56166e-18
3947.10624 1.00229e-17
3948.57792 1.10864e-17
3950.04960 1.11263e-17
3951.52128 1.12934e-17
3952.99296 1.09979e-17
3954.46464 1.01299e-17
3955.92624 1.05419e-17
3957.39792 1.23616e-17
3958.86960 1.26527e-17
3960.34128 1.05659e-17
3961.81296 1.00232e-17
3963.28464 1.08231e-17
3964.74624 9.91739e-18
3966.21792 9.78128e-18
3967.68960 1.08338e-17
3969.16128 1.24705e-17
3970.63296 1.25454e-17
3972.10464 1.11817e-17
3973.56624 1.12413e-17
3975.03792 1.15166e-17
3976.50960 1.08980e-17
3977.98128 1.10781e-17
3979.45296 1.11281e-17
3980.92464 1.03625e-17
3982.38624 1.17571e-17
3983.85792 1.32253e-17
3985.32960 1.20815e-17
3986.80128 1.32029e-17
3988.27296 1.31811e-17
3989.74464 1.10622e-17
3991.20624 1.18374e-17
3992.67792 1.10466e-17
